Enki ID,Date d'échantillonage,Identification,Type échantillon,Depth (m),MC total Analyses,Résultat MC total,ET Variance,(LOD < x < LOQ),SD (LOD < x < LOQ),MC Ind Analyses,CYN,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),ANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-YR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HtyR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HiIR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-WR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LA,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LY,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LW,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LF,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),HANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-A,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-B,SD,(LOD < x < LOQ),SD (LOD < x < LOQ)
16785,2019-07-10,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-08-03,301.3,3.4,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,<1,,<1,,<1,,<1,,<4,,<1,,407.8,19.3,,,11.7,0.9,,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,16.9,2.8,,,6.2,4.9,,
25993,2019-07-17,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,1045.3,90.7,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,376.1,21.7,,,,,10.3,1.8,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,39.5,11.5,,
25993,2019-07-17,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,511.3,29,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,102.2,3.1,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
25993,2019-07-17,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-28,627.9,8.3,,,2020-08-03,<5,,<2,,<2,,<1,,<1,,<1,,5,3,,,,,1.1,0.2,<4,,<1,,547.1,93,,,16.3,2.9,,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<3,,<1,,31.1,8.1,,
25996,2019-07-29,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,6702.8,430.1,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,,,22.1,2.1,<88,,<27,,5414.1,198.5,,,41.3,1.8,<9,,155.4,0.2,,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,152.4,28.6,,
25996,2019-07-29,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,560.1,83,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,81.3,4.7,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
25996,2019-07-29,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-28,4668.9,482.7,,,2020-08-03,<5,,<2,,<2,,<1,,<1,,<1,,19.4,5.3,,,95.8,17,,,<4,,<1,,4985.1,334.1,,,60.7,8.1,,,153.7,1.5,,,<5,,<1,,,,0.5,0,17.5,2.9,,,4.2,0.7,,,2.3,0.4,,,<2,,<1,,45.1,6.4,,,184.3,15.3,,
25999,2019-08-07,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,9824.3,1139.5,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,142,17.2,,,<88,,<27,,9001.2,94,,,148.6,13.5,<9,,254.4,29,,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,236.6,34.8,,
25999,2019-08-07,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-19,807,4.5,,,2020-08-19,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,62.9,19,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
25999,2019-08-07,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-08-03,7204.2,344.5,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,13.2,1.4,,,132.8,22,,,<4,,<1,,7263.5,659,,,93.2,9.1,,,233.1,7.8,,,<5,,<1,,2.5,0.2,,,21.9,3.8,,,10.7,1.1,,,<1,,<1,,<2,,<1,,13.9,2.8,,,174.6,17.1,,
