Date,Sample_Type,Depth_m,MC_total,ANA_a,MC_RR,MC_YR,MC_LR,dmMC_LR,MC_HiIR,MC_LA,MC_LY,MC_LW,MC_LF,AP_A,AP_B
2019-08-21,Intracellular,0,2497.9,0,35.3,124.5,1548.5,58.5,37.2,14.6,47.2,47.3,10.8,39.4,130.4
2019-07-29,Intracellular,0.8,4668.9,0,19.4,95.8,4985.1,60.7,153.7,0,17.5,4.2,2.3,45.1,184.3
2019-07-29,Intracellular,2.8,5677.1,0,12.5,29.3,4111.6,39.1,111.2,0,12.3,2,0,16.2,80.3
2019-07-29,Intracellular,0,6633.7,0,11,128,5285.5,80.3,154.3,2.7,22,4.2,0,40,211.5
2019-08-15,Intracellular,2.8,6905.8,0,44.5,101.6,7086.8,87.9,298.7,5,42.4,13.9,0,33.3,164
2019-08-07,Intracellular,0.8,7204.2,0,13.2,132.8,7263.5,93.2,233.1,2.5,21.9,10.7,0,13.9,174.6
2019-08-15,Intracellular,0.8,7931.3,0,81,79.5,7663.8,88.5,341,13.6,25.2,17.6,6.1,0,201.7
2019-08-07,Intracellular,2.8,8469.6,0,15,170.2,7694.8,118,211.4,2.5,24.4,10.7,0,15.2,173.7
2019-08-15,Intracellular,0,8823,0,54.3,111.5,7720.4,89.9,197.9,6.1,33.9,22.1,8,33.2,164.8
2019-08-07,Intracellular,0,10393.4,0,28.3,212.4,9344.9,145.8,298.3,2.7,50.3,18.7,0,20.4,172.4
2019-05-29,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,Intracellular,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,Intracellular,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
